sample,version,label,final_verdict,final_is_malicious,final_is_flagged,dyn_verdict,dyn_is_malicious,static_verdict,static_is_malicious,invisible_unicode,decided_by
oderwat.indent-rainbow,8.3.1,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
rangav.vscode-thunder-client,2.40.15,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
redhat.vscode-xml,0.29.2026061109,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
redhat.vscode-yaml,1.24.2026062009,0,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,0,static
ritwickdey.LiveServer,5.7.10,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
rust-lang.rust-analyzer,0.4.2944,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
shd101wyy.markdown-preview-enhanced,0.8.30,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
streetsidesoftware.code-spell-checker,4.6.0,0,MALICIOUS,1,1,BENIGN,0,MALICIOUS,1,0,static
teabyii.ayu,1.1.12,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
tomoki1207.pdf,1.2.2,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
usernamehw.errorlens,3.28.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
vscode-icons-team.vscode-icons,12.18.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
waderyan.gitblame,13.0.1,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
wayou.vscode-todo-highlight,1.0.5,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
wmaurer.change-case,1.0.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
yzhang.markdown-all-in-one,3.6.3,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
zhuangtongfa.material-theme,3.19.0,0,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
